M12
8 Av/W 12 ST, New York>>40.7375462>>-74.0048128>>0
W 14 ST/8 AV, New York>>40.739767>>-74.0025172>>315
W 14 ST/9 AV, New York>>40.7409721>>-74.005378>>276
W 14 St/10 AV, New York>>40.742337>>-74.00851899999999>>571
11 AV/W 15 ST, New York>>40.7432016>>-74.0087376>>188
11 AV/ W 18 ST, New York>>40.7455186>>-74.0083058>>1506
W 24 St/11 AV, New York>>40.749546>>-74.00660859999999>>735
12 AV/ W 27 ST, New York>>40.7523991>>-74.00758069999999>>412
12 AV/W 30 ST, New York>>40.7545739>>-74.0068534>>1412
12 AV/W 33 ST, New York>>40.75630779999999>>-74.00527439999999>>258
12 AV/ W 40 ST, New York>>40.7607289>>-74.00206949999999>>561
12 AV/W 43 ST, New York>>40.76264219999999>>-74.0005189>>276
12 AV/W 46 ST, New York>>40.7642362>>-73.9984992>>602
12 AV/W 48 ST, New York>>40.7655866>>-73.99779339999999>>1308
12 AV/W 52 ST, New York>>40.7680003>>-73.9957711>>337
12 AV/W 55 ST, New York>>40.7699396>>-73.99432089999999>>249
W 57 ST/11 AV, New York>>40.770312>>-73.9913902>>400
W 57 ST/10 AV, New York>>40.7691193>>-73.9885587>>273
W 57 ST/9 AV, New York>>40.7679294>>-73.9857133>>274
8 AV/W 57 ST, New York>>40.7667278>>-73.98287499999999>>274
W 58 ST/BROADWAY, New York>>40.7671579>>-73.9817463>>214
